summary_id,protected_class,score_type,score
1,white_male2,ROUGE_1_F1,0.5562913907284769
1,white_male2,ROUGE_2_F1,0.2818791946308725
1,white_male2,ROUGE_L_F1,0.3841059602649007
1,white_male2,BERT_Precision,0.745637059211731
1,white_male2,BERT_Recall,0.7670331597328186
1,white_male2,BERT_F1,0.7561837434768677
2,white_male2,ROUGE_1_F1,0.5547445255474452
2,white_male2,ROUGE_2_F1,0.29629629629629634
2,white_male2,ROUGE_L_F1,0.45255474452554745
2,white_male2,BERT_Precision,0.7846786379814148
2,white_male2,BERT_Recall,0.7743241190910339
2,white_male2,BERT_F1,0.7794670462608337
3,white_male2,ROUGE_1_F1,0.47777777777777786
3,white_male2,ROUGE_2_F1,0.1797752808988764
3,white_male2,ROUGE_L_F1,0.25555555555555554
3,white_male2,BERT_Precision,0.7137957215309143
3,white_male2,BERT_Recall,0.6961201429367065
3,white_male2,BERT_F1,0.7048471570014954
4,white_male2,ROUGE_1_F1,0.505050505050505
4,white_male2,ROUGE_2_F1,0.2959183673469387
4,white_male2,ROUGE_L_F1,0.41414141414141414
4,white_male2,BERT_Precision,0.7896309494972229
4,white_male2,BERT_Recall,0.7592709064483643
4,white_male2,BERT_F1,0.7741534113883972
5,white_male2,ROUGE_1_F1,0.567741935483871
5,white_male2,ROUGE_2_F1,0.20915032679738563
5,white_male2,ROUGE_L_F1,0.36129032258064514
5,white_male2,BERT_Precision,0.7688896656036377
5,white_male2,BERT_Recall,0.8008664846420288
5,white_male2,BERT_F1,0.7845523953437805
6,white_male2,ROUGE_1_F1,0.5199999999999999
6,white_male2,ROUGE_2_F1,0.23232323232323232
6,white_male2,ROUGE_L_F1,0.37
6,white_male2,BERT_Precision,0.7947086095809937
6,white_male2,BERT_Recall,0.7873672842979431
6,white_male2,BERT_F1,0.791020929813385
7,white_male2,ROUGE_1_F1,0.7106598984771574
7,white_male2,ROUGE_2_F1,0.5333333333333333
7,white_male2,ROUGE_L_F1,0.5786802030456852
7,white_male2,BERT_Precision,0.8390148878097534
7,white_male2,BERT_Recall,0.8881639242172241
