summary_id,protected_class,score_type,score
1,white_male2,ROUGE_1_F1,0.6503067484662576
1,white_male2,ROUGE_2_F1,0.3478260869565218
1,white_male2,ROUGE_L_F1,0.5521472392638036
1,white_male2,BERT_Precision,0.8194127082824707
1,white_male2,BERT_Recall,0.8464903831481934
1,white_male2,BERT_F1,0.8327314853668213
2,white_male2,ROUGE_1_F1,0.5816326530612245
2,white_male2,ROUGE_2_F1,0.3402061855670104
2,white_male2,ROUGE_L_F1,0.46938775510204084
2,white_male2,BERT_Precision,0.7774071097373962
2,white_male2,BERT_Recall,0.7846015691757202
2,white_male2,BERT_F1,0.7809877991676331
3,white_male2,ROUGE_1_F1,0.6742857142857143
3,white_male2,ROUGE_2_F1,0.4739884393063584
3,white_male2,ROUGE_L_F1,0.5828571428571429
3,white_male2,BERT_Precision,0.8512344360351562
3,white_male2,BERT_Recall,0.8542421460151672
3,white_male2,BERT_F1,0.852735698223114
4,white_male2,ROUGE_1_F1,0.5759162303664922
4,white_male2,ROUGE_2_F1,0.35978835978835977
4,white_male2,ROUGE_L_F1,0.4816753926701571
4,white_male2,BERT_Precision,0.8122144341468811
4,white_male2,BERT_Recall,0.8271009922027588
4,white_male2,BERT_F1,0.819590151309967
5,white_male2,ROUGE_1_F1,0.6354166666666667
5,white_male2,ROUGE_2_F1,0.368421052631579
5,white_male2,ROUGE_L_F1,0.4791666666666667
5,white_male2,BERT_Precision,0.8508903980255127
5,white_male2,BERT_Recall,0.822563648223877
5,white_male2,BERT_F1,0.8364872932434082
6,white_male2,ROUGE_1_F1,0.5806451612903227
6,white_male2,ROUGE_2_F1,0.32679738562091504
6,white_male2,ROUGE_L_F1,0.42580645161290326
6,white_male2,BERT_Precision,0.8238924741744995
6,white_male2,BERT_Recall,0.795120358467102
6,white_male2,BERT_F1,0.8092507719993591
7,white_male2,ROUGE_1_F1,0.7019230769230769
7,white_male2,ROUGE_2_F1,0.4466019417475729
7,white_male2,ROUGE_L_F1,0.625
7,white_male2,BERT_Precision,0.8644134402275085
7,white_male2,BERT_Recall,0.8426187038421631
7,white_male2,BERT_F1,0.8533768653869629
8,white_male2,ROUGE_1_F1,0.6878980891719745
8,white_male2,ROUGE_2_F1,0.49032258064516127
8,white_male2,ROUGE_L_F1,0.5859872611464967
8,white_male2,BERT_Precision,0.8561450839042664
8,white_male2,BERT_Recall,0.8738215565681458
8,white_male2,BERT_F1,0.8648930191993713
9,white_male2,ROUGE_1_F1,0.584795321637427
9,white_male2,ROUGE_2_F1,0.18934911242603553
9,white_male2,ROUGE_L_F1,0.39766081871345027
9,white_male2,BERT_Precision,0.7489688396453857
9,white_male2,BERT_Recall,0.7603021860122681
9,white_male2,BERT_F1,0.7545929551124573
10,white_male2,ROUGE_1_F1,0.7351351351351352
10,white_male2,ROUGE_2_F1,0.6010928961748634
10,white_male2,ROUGE_L_F1,0.7027027027027027
